trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,9,-6.160210936995245,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,9,-15.881743550961906,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,14,-0.34795970670833576,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,11,13.938682402446046,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-39.83958649419992,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",35,10,-39.72522653358236,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,9,2.8609549245271224,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,-31.062070124712562,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,8,-11.471947100866458,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,0,0.4924966328774303,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,0,-27.3609517781468,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",25,0,-9.535318198649303,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,9,10.148592051179154,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,17,-74.27968285818854,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,0,35.05212435863271,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,1,-30.828041438113296,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,13,4.290494669234538,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,9,-15.113006048987865,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,0,-47.71498367646125,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,4,-68.02519903094519,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-48.04188766378911,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",30,8,-4.564344357492476,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,9,12.93003600191662,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,5,13.863643639366666,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,12,13.81842432259535,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,16,8.95151790637852,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,16,7.987170217478805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,8,-30.461101624056127,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,7,2.257327738530422,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,0,-2.507077628888684,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,11,-45.927131251256206,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,10,-28.171095788807786,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,5,-39.76303709041119,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",25,0,-3.0993384278471643,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,11,-52.1876495982828,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,0,-7.052567654955303,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,6,27.929712964159094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,-35.58042344460098,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,3,14.240174782890607,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,5,-1.7741874267738575,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",30,8,-67.05448949840371,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,14,7.591059318861144,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,0,8.456382079146156,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,0,22.1463716827832,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,14,1.4544622184362854,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",30,4,-41.91747690612003,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,0,20.267201415664235,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,22,-11.659883475680138,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,0,-41.704522297654535,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,8,-1.9688534163570386,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,0,-9.976625620799343,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,11,18.712035304004395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,2,-14.8155966616174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,11,17.75571829730975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
